raw,replaced
"After coronavirus shutdown, Boeing will resume commercial airplane production starting next week .","After coronavirus shutdown, Boeing will resume commercial airplane production starting next week ."
2020-04-16 22:10:27 +00:00 .,2020-04-16 22:10:27 +00:00 .
"Boeing says it ’s planning to resume all commercial airplane production in the Puget Sound region starting next week , more than three weeks after operations were shut down due to the coronavirus outbreak .","Boeing says Boeing ’s planning to resume all commercial airplane production in Puget Sound starting next week , more than three weeks after operations were shut down due to the coronavirus outbreak ."
"About 27,000 employees will be brought back to work sites ranging from Boeing ’s wide - body airplane factory in Everett to its 737 production facility in Renton , using a phased approach , the company said in a news release .","About 27,000 employees will be brought back to work sites ranging from Boeing ’s wide - body airplane factory in Everett to Boeing 737 production facility in Renton , using This phased approach , Boeing said in a news release ."
Boeing said it ’s taking extra precautions to keep its workers safe .,Boeing said Boeing ’s taking extra precautions to keep Boeing workers safe .
"“ The health and safety of our employees , their families and communities is our shared priority , ” said Stan Deal , president and CEO of Boeing Commercial Airplanes .","“ The health and safety of Boeing  their , their families and communities is Boeing shared priority , ” said Stan Deal , president and CEO of Boeing ."
"“ This phased approach ensures we have a reliable supply base , our personal protective equipment is readily available and we have all of the necessary safety measures in place to resume essential work for our customers . ”","“ This phased approach ensures Boeing have a reliable supply base , Boeing personal protective equipment is readily available and Boeing have all of the necessary safety measures in place to resume essential work for Boeing customers . ”"
"Employees in the Puget Sound for the 737 , 747 , 767 and 777 will return as early as the third shift on April 20 , with most returning to work by April 21 , Boeing said .","Employees in Puget Sound for the 737 , 747 , 767 and 777 will return as early as the third shift on April 24 , with most returning to work by April 21 , Boeing said ."
"Employees for the 787 program will return as early as third shift April 23 , with most returning to work by April 24 .","Employees for The 737 program will return as early as third shift April 23 , with most returning to work by April 24 ."
"The 737 program will resume working toward restarting production of the 737 MAX — which has been suspended not only because of coronavirus concerns , but also due to consequences of the worldwide grounding of the MAX fleet .","The 737 program will resume working toward restarting production of the 737 MAX — which has been suspended not only because of coronavirus concerns , but also due to consequences of the worldwide grounding of the MAX fleet ."
This week Boeing began ramping up production operations for defense projects such as P-8 Poseidon maritime patrol airplanes for the U.S. Navy and KC-46 tankers for the Air Force .,This week Boeing began Those operations up production operations for defense projects such as P-8 Poseidon maritime patrol airplanes for the U.S. Navy and KC-46 tankers for the Air Force .
"Those operations involve about 2,500 employees .","Those operations involve about 2,500 employees ."
Operations at Boeing ’s South Carolina 787 factory remain suspended while the company assesses how to resume production safely .,Operations at the Everett plant remain suspended while Boeing assesses how to resume production safely .
"Boeing ’s airplane assembly operation is considered an essential business , and as such is exempt from Washington state ’s stay - at - home order .","Boeing ’s airplane assembly operation is considered an essential business , and as such is exempt from Washington state ’s stay - at - home order ."
"Nevertheless , the company suspended Puget Sound operations on March 25 , in the wake of reports that an inspector at the Everett plant had contracted COVID-19 and died .","Nevertheless , Boeing suspended Puget Sound operations on March 25 , in the wake of reports that an inspector at the Everett plant  Everett plant had contracted COVID-19 and died ."
"At the time , Boeing reported that 25 employees in the Puget Sound region had tested positive for the virus .","At the time , Boeing reported that 25 employees in Puget Sound  Puget Sound region had tested positive for the virus ."
"During the weeks - long shutdown , Boeing conducted deep - cleaning operations and established more stringent workplace policies , in alignment with federal and state guidance .","During the weeks - long shutdown , Boeing conducted deep - cleaning operations and established these practices , in alignment with federal and state guidance ."
Today the company said it ’s following these practices : Staggered shift start times to reduce the flow of employees arriving and departing work .,Today Boeing said Boeing ’s following these practices : Staggered shift start times to reduce the flow of employees arriving and departing work .
Visual controls such as floor markings and signage to create physical distance .,Visual controls such as floor markings and signage to create physical distance .
Face coverings will be a requirement for employees at Boeing sites in Washington .,Face coverings will be a requirement for employees at Boeing sites in Washington .
Employees are strongly encouraged to bring in their own procedural mask or face covering ; those who do not have a mask available will be provided with one .,Employees are strongly encouraged to bring in Employees own procedural mask or face covering ; those who do not have a mask available will be provided with one .
Providing required personal protective equipment to employees working in areas where physical distancing can not be maintained for an extended period .,Providing required personal protective equipment to employees working in areas where physical distancing can not be maintained for an extended period .
Asking employees to perform self - health checks before coming to work and to stay home if they are ill .,Asking employees to perform self - health checks before coming to work and to stay home if employees are ill .
Employee wellness checks at the beginning of every shift and voluntary temperature screening at many manufacturing locations .,Employee wellness checks at the beginning of every shift and voluntary temperature screening at many manufacturing locations .
Contact tracing when an employee tests positive for COVID-19 to reduce risk to teammates .,Contact tracing when an employee tests positive for COVID-19 to reduce risk to teammates .
Continued virtual meetings and employees who can work from home will continue to do .,Continued virtual meetings and employees who can work from home will continue to do .
Transportation and common areas adjusted for physical distancing .,Transportation and common areas adjusted for physical distancing .
Providing hand - washing stations in high - traffic areas and additional cleaning supplies .,Providing hand - washing stations in high - traffic areas and additional cleaning supplies .
Boeing said the enhanced measures will continue until conditions allow for a return to regular work and cleaning processes .,Boeing said the enhanced measures will continue until conditions allow for a return to regular work and cleaning processes .
More from GeekWire :,More from GeekWire :
