raw,replaced
Rod Stewart shows support for NHS from self-isolation in Florida .,Stewart shows support for NHS from self-isolation in Florida .
2020-03-28 12:53:20 +00:00 .,2020-03-28 12:53:20 +00:00 .
Sir Rod Stewart has shown his support for NHS workers after sharing a self - isolation clip of himself and family joining in with the Clap for Carers from thousands of miles away in Florida .,Stewart has shown Stewart support for NHS workers after sharing a self - isolation clip of Stewart and family joining in with the Clap for Carers from thousands of miles away in Florida .
"The singer , who posted the video from his plush US home on social media , was joined by wife Penny Lancaster , their sons Alastair , 14 , and Aiden , nine , and Rod ’s children Sean , 39 and Ruby , 32 .","The singer , who posted the video from his plush US home on social media  The singer , who posted the video from his plush US home on social media plush US home on social media , was joined by wife Penny Lancaster , their sons Alastair , 14 , and Aiden , nine , and Rod ’s children Sean , 39 and Ruby , 32 ."
Read more : Sir Rod Stewart arrested and charged for punching security guard at US hotel,Read more : Stewart arrested and charged for punching security guard at US hotel
"The 75 - year - old addresses the camera with the words : “ Our family want to say a huge thank you to everyone working in the NHS , as well as to all the healthcare workers and emergency services that are helping keep Britain ’s families safe in these extremely difficult times . ”","Stewart addresses the camera with the words : “ Our family want to say a huge thank you to everyone working in NHS , as well as to all the healthcare workers and emergency services that are helping keep Britain ’s families safe in these extremely difficult times . ”"
The Stewart clan then breakout into claps and cheers like the planned show of appreciation which swept across the nation at 8 pm Thursday night ( 26 March ) as people hung out of windows and on doorsteps displaying their gratitude to those putting themselves at risk on the frontline as the coronavirus continues to grip the world .,The Stewart clan then breakout into claps and cheers like the planned show of appreciation which swept across Britain at 8 pm Thursday night ( 26 March ) as people hung out of windows and on doorsteps displaying people gratitude to those putting people at risk on the frontline as the coronavirus continues to grip the world .
"Stewart and former model Lancaster , who began dating in 1999 and married in 2007 , followed protocol by going into self - isolation as a household earlier this month .","Stewart and Lancaster , followed protocol by going into self - isolation as a household earlier this month ."
"Latest coronavirus news , updates and advice","Latest coronavirus news , updates and advice"
Live : Follow all the latest updates from the UK and around the world,Live : Follow all the latest updates from the UK and around the world
Fact - checker : The number of COVID-19 cases in your local area,Fact - checker : The number of COVID-19 cases in your local area
"Explained : Symptoms , latest advice and how it compares to the flu","Explained : Symptoms , latest advice and how latest advice compares to the flu"
"However , they did manage to throw one last bash before doing so , hosting a glitzy gathering of their closest friends to celebrate Lancaster turning 49 .","However , Symptoms did manage to throw one last bash before doing so , hosting a glitzy gathering of Symptoms closest friends to celebrate Lancaster turning 49 ."
"The evening was well documented on social media , with photos and captions about the last hurrah .","The evening was well documented on social media , with photos and captions about the last hurrah ."
Lancaster wrote on Instagram : “ Thanks to all our friends for coming together to celebrate my birthday during the most unprecedented time we have known .,Lancaster wrote on Instagram : “ Thanks to all our friends for coming together to celebrate Lancaster birthday during the most unprecedented time we have known .
Read more : Sir Rod Stewart takes pet dog to Brits rehearsals,Read more : Stewart takes pet dog to Brits rehearsals
"“ Together we stand , together we give thanks and although this might be one of the last get togethers for a while let ’s pray we all remain safe and healthy . ”","“ Together we stand , together we give thanks and although this might be one of the last get togethers for a while let ’s pray we all remain safe and healthy . ”"
"According to latest reports , there are 3,198 cases of COVID-19 reported in Florida , with 46 deaths linked to the coronavirus .","According to latest reports , there are 3,198 cases of COVID-19 reported in Florida , with 46 deaths linked to the coronavirus ."
