raw,replaced
Justice Department drops insider trading investigations of three senators .,Justice Department drops insider trading investigations of three senators .
2020-05-27 02:03:04 +00:00 .,2020-05-27 02:03:04 +00:00 .
"The Justice Department has closed insider trading investigations into three senators who sold off stocks following early briefings on the coronavirus , aides told NBC News .","Justice Department has closed the allegations into three senators  early briefings on the coronavirus , aides told CNBC ."
"A spokesman for Sen. Kelly Loeffler , R - Ga. , confirmed that she had been informed that the Justice Department had dropped an inquiry into her trades and called the allegations "" politically motivated . ""","A spokesman for I confirmed that I had been informed that Justice Department had dropped an inquiry into her trades  I  the trades and called the allegations "" politically motivated . """
""" Today 's clear exoneration by the Department of Justice affirms what Senator Loeffler has said all along — she did nothing wrong .",""" This  Justice Department affirms what I has said all along — I did nothing wrong ."
This was a politically - motivated attack shamelessly promoted by the fake news media and her political opponents .,This was a politically - motivated attack shamelessly promoted by the fake news media and I political opponents .
"Senator Loeffler will continue to focus her full attention on delivering results for Georgians , "" said the spokesman , Stephen Lawson .","I will continue to focus I full attention on delivering results for Georgians , "" said the spokesman , Stephen Lawson ."
"A Democratic aide said Sen. Dianne Feinstein , D - Calif. , was informed that the Justice Department was dropping an inquiry over stock trades her husband made in the wake of her briefings .",A Democratic aide The development  Feinstein was informed that Justice Department was dropping an inquiry into her trades  Feinstein  her husband made in the wake of Feinstein  early briefings on the coronavirus .
"A similar investigation into Sen. James Inhofe , R - Okla. , is also being dropped , according to a spokesman — but another one , involving Sen. Richard Burr , R - N.C. , is continuing .","A similar investigation into Inhofe is also being dropped , according to a spokesman — but another one , involving Burr is continuing ."
The development was first reported by The Wall Street Journal .,The development was first reported by The Wall Street Journal .
Burr 's office did not respond to a request for comment .,Burr office did not respond to a request for comment .
A spokesperson for the Justice Department declined to comment on the Journal report .,A spokesperson for Justice Department declined to comment on the Journal report .
"Inhofe told The Oklahoman newspaper of Oklahoma City : "" As I 've said all along , I was n't even at the briefing and do not make my own stock trades .","Inhofe told The Oklahoman newspaper of Oklahoma City : "" As Inhofe 've said all along , Inhofe was n't even at early briefings on the coronavirus and do not make Inhofe own stock trades ."
"I did nothing wrong , and I 'm pleased the Justice Department has exonerated me . ""","Inhofe did nothing wrong , and Inhofe 'm pleased Justice Department has exonerated Inhofe . """
Burr temporarily stepped aside as chairman of the Intelligence Committee this month after the FBI seized his cellphone as part of its investigation into his trades .,Burr temporarily stepped aside as chairman of the Intelligence Committee this month after the FBI seized Burr cellphone as part of the FBI investigation into Burr  the trades .
"Unlike the other senators , Burr has acknowledged directing his trades himself .","Unlike the other senators , Burr has acknowledged directing Burr  the trades  Burr ."
"He maintained that he did n't use inside information , and he said in March that he "" relied solely on public news reports to guide my decision regarding the sale of stocks on February 13 . ""","Burr maintained that Burr did n't use inside information , and Burr said in March that Burr "" relied solely on public news reports to guide Burr decision regarding the sale of stocks on February 13 . """
Loeffler said after the trades were disclosed that she 'd been unaware of the transactions when they were made .,I said after the trades were disclosed that I 'd been unaware of the trades when the trades were made .
""" I had no involvement in these decisions .",""" I had no involvement in these decisions ."
"I do n't have conversations with them about any of this , and so this is a very third - party relationship that many people are familiar with , "" she told CNBC in March .","I do n't have conversations with these decisions about any of these decisions , and so these decisions is a very third - party relationship that many people are familiar with , "" I told CNBC in March ."
"A spokesman for Feinstein told NBC News at the time her husband 's trades were disclosed that she "" did not sell any stock . ""","A spokesman for Feinstein  Feinstein told CNBC at the time Feinstein  the trades  her husband trades were disclosed that Feinstein "" did not sell any stock . """
""" All of Senator Feinstein 's assets are in a blind trust , as they have been since she came to the Senate , "" the spokesman said .",""" Feinstein  All of Senator Feinstein 's assets are in a blind trust , as All of Senator Feinstein 's assets have been since Feinstein came to the Senate , "" A spokesman for Feinstein said ."
""" She has no involvement in any of her husband 's financial decisions . """,""" Feinstein has no involvement in any of Feinstein  her husband financial decisions . """
"Inhofe said at the time that "" I do not have any involvement in my investment decisions . ""","Inhofe said at the time that "" Inhofe do not have any involvement in Inhofe investment decisions . """
""" In December 2018 , shortly after becoming chairman of the Senate Armed Services Committee , I instructed my financial advisor to move me out of all stocks and into mutual funds to avoid any appearance of controversy .",""" In December 2018 , shortly after becoming chairman of the Senate Armed Services Committee , Inhofe instructed Inhofe  My advisor to move Inhofe out of all stocks and into mutual funds to avoid any appearance of controversy ."
"My advisor has been doing so faithfully since that time and I am not aware of or consulted about any transactions , "" Inhofe said in a statement .","Inhofe  My advisor has been doing so faithfully since that time and Inhofe am not aware of or consulted about any transactions , "" Inhofe said in a statement ."
