raw,replaced
Army defends decision to have West Point graduation .,Army defends decision to have West Point graduation .
2020-04-30 19:22:39 +00:00 .,2020-04-30 19:22:39 +00:00 .
"The announcement has been criticized as a political move to get Trump on stage at the academy , where he has n’t yet given a graduation address .",The announcement has been criticized as a political move to get Trump on stage at the academy  Trump has n’t yet given a graduation address .
"But Army officials said the students must return for final medical checks , equipment and training .","But Army officials said the students must return for final medical checks , equipment and training ."
"“ We ca n’t telecommute to combat , ” Gen. James McConville , the chief of staff of the Army , told Pentagon reporters when asked about the decision , which forces cadets spread out across the U.S. to travel , risking exposure on public transportation , and then land in New York , a coronavirus hot spot .","“ We ca n’t telecommute to combat , ” Gen. James McConville , the chief of staff of Army , told Pentagon reporters when asked about the decision , which forces cadets spread out across the U.S. to travel , risking exposure on public transportation , and then land in New York , a coronavirus hot spot ."
"Cadets have been home since spring break in March , with their return to school delayed because of the outbreak .","Cadets have been home since spring break in March , with Cadets return to school delayed because of the outbreak ."
"Only the seniors will return , and the graduation is set for June 13 .","Only the seniors will return , and the graduation is set for June 13 ."
"Lt . Gen. Darryl Williams , academy superintendent , said the students must return for medical and other required tasks that can only be done at the academy before they can be turned over as new officers to the Army .",Williams said Cadets must return for medical and other required tasks that can only be done at the academy before Cadets can be turned over as new officers to Army .
He said the school will create a “ safety bubble ” around the cadets and build a staging base where they will arrive .,Williams said the school will create a “ safety bubble ” around All cadets and build the base  All cadets will arrive .
All cadets will be screened and tested for the virus at the staging area and then separated into five groups that will eat and live separately .,All cadets will be screened and tested for the virus at the staging area and then separated into five groups that will eat and live separately .
They will be quarantined for 14 days .,All cadets will be quarantined for 14 days .
"Williams said Keller Army Community Hospital at the base now has all the needed testing equipment , and was converted to be able to handle and quarantine virus patients .","Williams said Keller Army Community Hospital at the base now has all the needed testing equipment , and was converted to be able to handle and quarantine virus patients ."
Asked if cadets will face discipline if they ca n’t or do n’t want to come back because of the virus,Asked if cadets will face discipline if cadets ca n’t or do n’t want to come back because of the virus
", he said commanders will decide on a case - by - case basis .",", Williams said commanders will decide on a case - by - case basis ."
"U.S. Sen. Tammy Duckworth , D - Ill. , a member of West Point ’s Board of Visitors , said she expressed her concerns about the decision to Army Secretary Ryan McCarthy in a call this week .","Duckworth , a retired Army helicopter pilot , who served in the Iraq war and received a Purple Heart  West Point ’s Board of Visitors , said Duckworth , a retired Army helicopter pilot , who served in the Iraq war and received a Purple Heart expressed Duckworth , a retired Army helicopter pilot , who served in the Iraq war and received a Purple Heart concerns about The announcement to Army  McCarthy in a call this week ."
"“ Trump ’s reckless decision to gather 1,000 Cadets at West Point for a speech puts our future military leaders at increased risk — all to stroke his own ego , ” said Duckworth , a retired Army helicopter pilot , who served in the Iraq war and received a Purple Heart .","“ Trump ’s reckless decision to gather 1,000 Cadets at West Point for a speech puts our future military leaders at increased risk — all to stroke Trump own ego , ” said Duckworth , a retired Army helicopter pilot , who served in the Iraq war and received a Purple Heart  Army helicopter pilot , who served in the Iraq war and received a Purple Heart ."
"McCarthy told reporters the Army wants to have a “ small , safe graduation ceremony ” for the cadets to celebrate .","McCarthy told reporters Army wants to have a “ small , safe graduation ceremony ” for All cadets to celebrate ."
"In contrast , the U.S. Naval Academy has announced it will hold a virtual graduation and postpone other traditional milestone events until large - scale gatherings are allowed .","In contrast , Naval Academy has announced Naval Academy will hold a virtual graduation and postpone other traditional milestone events until large - scale gatherings are allowed ."
"The academy ’s superintendent , Vice Adm. Sean Buck , called it a difficult decision but necessary “ to safeguard the health and welfare of the entire Naval Academy family and local community . ”","The academy ’s superintendent , Vice Adm. Sean Buck , called a virtual graduation a difficult decision but necessary “ to safeguard the health and welfare of the entire Naval Academy family and local community . ”"
"The U.S. Air Force Academy opted to hold a scaled - down ceremony with hundreds of graduating cadets sitting in chairs eight feet apart on the school ’s parade field , instead of in its stadium .",Naval Academy opted to hold The ceremony  Naval Academy stadium .
The ceremony was closed to visitors .,The ceremony was closed to visitors .
West Point ’s graduation ceremonies are usually held in May in a football stadium .,West Point ’s graduation ceremonies are usually held in May in a football stadium .
Copyright 2020 The Associated Press .,Copyright 2020 The Associated Press .
All rights reserved .,All rights reserved .
"This material may not be published , broadcast , rewritten or redistributed without permission .","This material may not be published , broadcast , rewritten or redistributed without permission ."
