raw,replaced
'Games every day' – La Liga outlines plan for return to action on 12 June .,'Games every day' – La Liga outlines plan for return to action on 12 June .
2020-05-11 12:50:03 +00:00 .,2020-05-11 12:50:03 +00:00 .
"Spanish football should return with the Seville derby on 12 June , according to the president of La Liga , Javier Tebas .","Spanish football should return with the Seville derby on 12 June , according to Tebas  La Liga , Javier Tebas ."
"If all goes to plan , the league season will be completed by the end of July in time for European competition to get under way , with games played every day for six weeks behind closed doors and the title , European places and relegation slots all to be decided .","If all goes to plan , the Seville derby will be completed by the end of July in time for European competition to get under way , with games played every day for six weeks behind closed doors and the title , European places and relegation slots all to be decided ."
There is optimism after teams returned to training over the last three days .,There is optimism after teams returned to training over the last three days .
"Five players have tested positive for Covid-19 so far , with Tebas describing the risk during games as “ virtually non - existent ” .","Five players have tested positive for Covid-19 so far , with Tebas describing the risk during games as “ virtually non - existent ” ."
"The president of the league was bullish as he appeared on a specially - arranged TV programme broadcast on Movistar , the channel that holds the rights to La Liga , under the slogan “ To return is to win ” .","Tebas  La Liga was bullish as Tebas appeared on a specially - arranged TV programme broadcast on Movistar , the channel that holds the rights to La Liga , under the slogan “ To return is to win ” ."
"Designed to celebrate and project growing confidence that the league season can be completed , the show announced that Sevilla - Betis will reopen the season , which has 10 weeks left in the first division and 11 remaining in the second division .","Designed to celebrate and project growing confidence that the Seville derby can be completed , La Liga announced that Sevilla - Betis will reopen the Seville derby  the second division and 11 remaining in the second division ."
"And although Sergio Ramos said that he would like “ a few more days ” , Tebas expressed his optimism that it can get under way on 12 June .","And although Tebas said that Tebas would like “ a few more days ” , Tebas expressed Tebas optimism that Sevilla - Betis can get under way on 12 June ."
"There are no guarantees , though .","There are no guarantees , though ."
“ We do n’t know,“ we do n’t know
"[ when we can start ] , no one knows the date , ” Tebas said .","[ when we can start ] , no one knows the date , ” Tebas said ."
“ It will depend on spikes in the numbers and all the rules being followed .,“ Sevilla - Betis will depend on spikes in the numbers and the health rules .
The virus is still there .,The virus is still there .
"But if it can be on 12 June , so much the better .","But if The virus can be on 12 June , so much the better ."
"If we all follow the health rules , I do n’t think we ’re going to have any problem .","If we all follow the health rules , Tebas do n’t think We ’ve going to have any problem ."
The idea is to finish on 31 July and that August can be left for European competitions .,The idea is to finish on 31 July and that August can be left for European competitions .
Those dates can [ then ] also be used for the play - offs [ in Spain ] .,Those dates can [ then ] also be used for the play - offs [ in Spain ] .
"There will be league [ games ] every day , as already happens in March and April with a normal fixture list . ”","There will be league [ games ] every day , as already happens in March and April with a normal fixture list . ”"
"Although that assertion is not true following the Spanish Federation ’s intervention to prevent Monday night matches , there has been no suggestion that the league will face any challenge to their plan to play daily matches .","Although that assertion is not true following the Spanish Federation ’s intervention to prevent Monday night matches , there has been no suggestion that La Liga will face any challenge to La Liga plan to play daily matches ."
"A successful return to work for most clubs has been a significant step towards a return , following a protocol that runs parallel to the government ’s four - phase plan for a de - escalation of the state of alarm .","A successful return to work for most clubs has been a significant step towards a return , following a protocol that runs parallel to the government ’s four - phase plan for a de - escalation of the state of alarm ."
There have been fewer infected footballers than the league had planned for .,There have been fewer infected footballers than La Liga had planned for .
Those who test positive for Covid-19 will have to isolate and will not be allowed to return to work until they have undergone two consecutive tests that show up as negative .,Those who test positive for Covid-19  Covid-19 will have to isolate and will not be allowed to return to work until Those who test positive for Covid-19 have undergone two consecutive tests that show up as negative .
"“ We expected 25 or 30 positives [ for Covid-19 among players ] , ” Tebas said .","“ us expected 25 or 30 positives [ for Covid-19 among players ] , ” Tebas said ."
“ We had made a statistical calculation based on the spread of the virus in Spain which gave us that number .,“ us had made a statistical calculation based on the spread of the virus in Spain which gave us that number .
"There are five , and three who are n’t footballers .","There are five , and three who are n’t footballers ."
"That ’s eight from 2,500 tests .","That ’s eight from 2,500 tests ."
"“ When the competition comes back , everyone due to play will undergo a test 24 hours before and if he is positive , he wo n’t play .","“ When the competition comes back , everyone due to play will undergo a test 24 hours before and if everyone due to play is positive , everyone due to play wo n’t play ."
The test ’s failure rate is 5 % .,The test ’s failure rate is 5 % .
The risk during a football game is going to be practically inexistent .,The risk during a football game is going to be practically inexistent .
We ’ve done a study that says that the place where there is least risk is during the games and where there is the most risk is at home .,We ’ve done a study that says that the place where there is least risk is during the games and where there is the most risk is at home .
“ If things are done the way they have been up until now there ’s no reason to have five infected players in a single team .,“ If things are done the way things have been up until now there ’s no reason to that five infected players in a single team .
"If that happens , there must have been some negligence .","If that happens , there must have been some negligence ."
"Not the clubs , but the players .","Not the clubs , but the players ."
"If we all do the right things , I do n’t think there will be problems . ”","If we all do the right things , I do n’t think there will be problems . ”"
