raw,replaced
"Premier League clubs must face windfall tax over wages, says MP .","Premier League clubs must face windfall tax over wages, says MP ."
2020-04-02 13:59:21 +00:00 .,2020-04-02 13:59:21 +00:00 .
Pressure continues to grow on Premier League players to reduce their pay after a call from parliament for a windfall tax on clubs who refuse to cut player wages while putting non - playing staff on furlough .,Pressure continues to grow on Premier League  Premier League players to reduce Premier League players pay after a call from parliament for a windfall tax on clubs who refuse to cut player wages while putting non - playing staff on furlough .
"The Conservative chair of the influential DCMS select committee , Julian Knight , has said that the clubs using the government ’s coronavirus job retention scheme should be subject to a government levy .",Knight has said that the clubs using the government ’s coronavirus job retention scheme should be subject to a government levy .
"Knight had previously spoken of a “ moral vacuum ” in football after Tottenham Hotspur , Newcastle United , Norwich City and Bournemouth all announced they would be furloughing staff while continuing to pay players as before .","Knight had previously spoken of a “ moral vacuum ” in football after Tottenham Hotspur , Newcastle United , Norwich City and Bournemouth all announced Tottenham Hotspur , Newcastle United , Norwich City and Bournemouth all would be furloughing staff while continuing to pay players as before ."
"On Thursday , Knight went further , and called on government to intervene : “ We are facing an obscene situation where top players who are n’t working are continuing to see hundreds of thousands of pounds roll in each week while the staff who keep the clubs going are losing wages , ” he said .","On Thursday , Knight went further , and called on government to intervene : “ We are facing an obscene situation where top players who are n’t working are continuing to see hundreds of thousands of pounds roll in each week while the staff who keep the clubs going are losing wages , ” Knight said ."
“ If the Premier League is n’t going to act to resolve this crisis then the government must step in by imposing a significant financial penalty on clubs to reimburse those hit hardest in the pocket .,“ If Premier League is n’t going to act to resolve this crisis then government must step in by imposing a significant financial penalty on clubs to reimburse those hit hardest in the pocket .
“ That ’s why I have written to Chancellor Rishi Sunak today demanding that Premier League clubs do the right thing by Tuesday next week or face the consequences . ”,“ That ’s why I have written to Chancellor Rishi Sunak today demanding that Premier League clubs do the right thing by Tuesday next week or face the consequences . ”
"Knight ’s remarks were made at the same time as Premier League officials , alongside those from the EFL and representatives of the player ’s union , the PFA , went into their another day of discussions over how to resolve the issue of keeping football clubs solvent during the coronavirus crisis , when live sport has been completely wiped from the national landscape .","Knight ’s remarks were made at the same time as Premier League  Premier League officials , alongside those from the EFL and representatives of the player ’s union , the PFA  The PFA , went into Premier League officials , alongside those from the EFL and representatives of the player ’s union , the PFA another day of discussions over how to resolve the issue of keeping football clubs solvent during the coronavirus crisis , when live sport has been completely wiped from the national landscape ."
"On Wednesday , the Guardian reported that the Premier League had insisted to the PFA that players would have to share some of the game ’s financial losses .","On Wednesday , the Guardian reported that Premier League had insisted to The PFA that players would have to share some of the game ’s financial losses ."
"The PFA , however , are believed to prefer that their clients see their wages deferred until competitions which are currently suspended can be completed .","The PFA , however , are believed to prefer that The PFA  their see their wages deferred until competitions which are currently suspended can be completed ."
After the meeting the participants issued a statement saying discussions had been “ constructive ” and were “ set to continue in the next 48 hours ” .,After the meeting the participants issued a statement saying discussions had been “ constructive ” and were “ set to continue in the next 48 hours ” .
"The Premier League has a meeting with its clubs on Friday but with external pressure growing on all parties to reach some kind of resolution , the negotiations are increasingly under the spotlight .","Premier League has a meeting with Premier League clubs on Friday but with external pressure growing on all parties to reach some kind of resolution , the negotiations are increasingly under the spotlight ."
